year,region,public_university,public_polytechnic,private_university,private_polytechnic
2004 / 2005,Área Metropolitana do Porto,26387.0,16310.0,20777.0,10451.0
2004 / 2005,Alto Tâmega,601.0,,,314.0
2004 / 2005,Tâmega e Sousa,,452.0,,392.0
2004 / 2005,Douro,5692.0,1225.0,,
2004 / 2005,Terras de Trás-os-Montes,310.0,5348.0,317.0,1512.0
2004 / 2005,Centro,34089.0,39821.0,5816.0,1988.0
2004 / 2005,Oeste,,1956.0,69.0,102.0
2004 / 2005,Região de Aveiro,8944.0,2758.0,,409.0
2004 / 2005,Região de Coimbra,19872.0,10896.0,3601.0,
2004 / 2005,Região de Leiria,,7231.0,473.0,110.0
2004 / 2005,Viseu Dão Lafões,,5437.0,1673.0,1096.0
2004 / 2005,Beira Baixa,,4652.0,,
2004 / 2005,Médio Tejo,,3348.0,,231.0
2004 / 2005,Beiras e Serra da Estrela,5273.0,3543.0,,40.0
2004 / 2005,Área Metropolitana de Lisboa,74157.0,23387.0,34810.0,12915.0
2004 / 2005,Área Metropolitana de Lisboa,74157.0,23387.0,34810.0,12915.0
2004 / 2005,Alentejo,8010.0,10785.0,1034.0,
2004 / 2005,Alentejo Litoral,,,45.0,
2004 / 2005,Baixo Alentejo,,3227.0,669.0,
2004 / 2005,Lezíria do Tejo,,3842.0,320.0,
2004 / 2005,Alto Alentejo,,3342.0,,
2004 / 2005,Alentejo Central,8010.0,374.0,,
2004 / 2005,Algarve,3902.0,5214.0,1022.0,477.0
2004 / 2005,Algarve,3902.0,5214.0,1022.0,477.0
2004 / 2005,Região Autónoma dos Açores,2848.0,494.0,16.0,
2004 / 2005,Região Autónoma dos Açores,2848.0,494.0,16.0,
2004 / 2005,Região Autónoma dos Açores,2848.0,494.0,16.0,
2004 / 2005,Região Autónoma da Madeira,2589.0,146.0,,467.0
2004 / 2005,Região Autónoma da Madeira,2589.0,146.0,,467.0
2004 / 2005,Região Autónoma da Madeira,2589.0,146.0,,467.0
2003 / 2004,Portugal,176827.0,111482.0,72774.0,33980.0
2003 / 2004,Continente,171443.0,110883.0,72758.0,33540.0
2003 / 2004,Norte,49309.0,29456.0,25907.0,16589.0
2003 / 2004,Alto Minho,,3517.0,429.0,252.0
2003 / 2004,Cávado,15835.0,1767.0,1182.0,
2003 / 2004,Ave,,,1115.0,3113.0
2003 / 2004,Área Metropolitana do Porto,26733.0,17075.0,22808.0,10794.0
2003 / 2004,Alto Tâmega,662.0,,,216.0
2003 / 2004,Tâmega e Sousa,,327.0,,496.0
2003 / 2004,Douro,5755.0,1276.0,,
2003 / 2004,Terras de Trás-os-Montes,324.0,5494.0,373.0,1718.0
2003 / 2004,Centro,35867.0,41064.0,6271.0,2366.0
2003 / 2004,Oeste,,1985.0,95.0,136.0
2003 / 2004,Região de Aveiro,9016.0,2660.0,,429.0
2003 / 2004,Região de Coimbra,21501.0,11598.0,3776.0,
2003 / 2004,Região de Leiria,,7254.0,569.0,108.0
2003 / 2004,Viseu Dão Lafões,,5705.0,1809.0,1302.0
2003 / 2004,Beira Baixa,,4601.0,,
2003 / 2004,Médio Tejo,,3493.0,22.0,315.0
2003 / 2004,Beiras e Serra da Estrela,5350.0,3768.0,,76.0
2003 / 2004,Área Metropolitana de Lisboa,73946.0,23516.0,38227.0,14258.0
2003 / 2004,Área Metropolitana de Lisboa,73946.0,23516.0,38227.0,14258.0
2003 / 2004,Alentejo,7944.0,11259.0,1281.0,
2003 / 2004,Alentejo Litoral,,,34.0,
2003 / 2004,Baixo Alentejo,,3545.0,835.0,
2003 / 2004,Lezíria do Tejo,,4095.0,412.0,
2003 / 2004,Alto Alentejo,,3250.0,,
2003 / 2004,Alentejo Central,7944.0,369.0,,
2003 / 2004,Algarve,4377.0,5588.0,1072.0,327.0
2003 / 2004,Algarve,4377.0,5588.0,1072.0,327.0
2003 / 2004,Região Autónoma dos Açores,2931.0,480.0,16.0,
2003 / 2004,Região Autónoma dos Açores,2931.0,480.0,16.0,
2003 / 2004,Região Autónoma dos Açores,2931.0,480.0,16.0,
2003 / 2004,Região Autónoma da Madeira,2453.0,119.0,,440.0
2003 / 2004,Região Autónoma da Madeira,2453.0,119.0,,440.0
2003 / 2004,Região Autónoma da Madeira,2453.0,119.0,,440.0
2002 / 2003,Portugal,178000.0,112532.0,75993.0,34306.0
2002 / 2003,Continente,172189.0,112051.0,75976.0,33874.0
2002 / 2003,Norte,50034.0,29436.0,26712.0,16245.0
2002 / 2003,Alto Minho,,3588.0,496.0,152.0
2002 / 2003,Cávado,16560.0,1591.0,1226.0,
2002 / 2003,Ave,,,1089.0,2640.0
2002 / 2003,Área Metropolitana do Porto,26331.0,16994.0,23481.0,10725.0
2002 / 2003,Alto Tâmega,668.0,,,240.0
2002 / 2003,Tâmega e Sousa,,237.0,,659.0
2002 / 2003,Douro,6198.0,1295.0,,
2002 / 2003,Terras de Trás-os-Montes,277.0,5731.0,420.0,1829.0
2002 / 2003,Centro,36392.0,41765.0,6529.0,2815.0
2002 / 2003,Oeste,,2057.0,111.0,155.0
2002 / 2003,Região de Aveiro,9316.0,2521.0,,474.0
2002 / 2003,Região de Coimbra,22020.0,11895.0,3705.0,
2002 / 2003,Região de Leiria,,7188.0,632.0,102.0
2002 / 2003,Viseu Dão Lafões,,5836.0,2044.0,1530.0
2002 / 2003,Beira Baixa,,4771.0,,10.0
2002 / 2003,Médio Tejo,,3366.0,37.0,423.0
2002 / 2003,Beiras e Serra da Estrela,5056.0,4131.0,,121.0
2002 / 2003,Área Metropolitana de Lisboa,73017.0,23509.0,40100.0,14764.0
2002 / 2003,Área Metropolitana de Lisboa,73017.0,23509.0,40100.0,14764.0
2002 / 2003,Alentejo,8221.0,11725.0,1495.0,
2002 / 2003,Alentejo Litoral,,,17.0,
2002 / 2003,Baixo Alentejo,,3786.0,955.0,
2002 / 2003,Lezíria do Tejo,,4225.0,523.0,
2002 / 2003,Alto Alentejo,,3368.0,,
2002 / 2003,Alentejo Central,8221.0,346.0,,
2002 / 2003,Algarve,4525.0,5616.0,1140.0,50.0
2002 / 2003,Algarve,4525.0,5616.0,1140.0,50.0
2002 / 2003,Região Autónoma dos Açores,3252.0,394.0,17.0,
2002 / 2003,Região Autónoma dos Açores,3252.0,394.0,17.0,
2002 / 2003,Região Autónoma dos Açores,3252.0,394.0,17.0,
2002 / 2003,Região Autónoma da Madeira,2559.0,87.0,,432.0
2002 / 2003,Região Autónoma da Madeira,2559.0,87.0,,432.0
2002 / 2003,Região Autónoma da Madeira,2559.0,87.0,,432.0
2001 / 2002,Portugal,176303.0,108486.0,78592.0,33220.0
2001 / 2002,Continente,170591.0,107996.0,78592.0,32778.0
2001 / 2002,Norte,49762.0,28200.0,27338.0,14738.0
2001 / 2002,Alto Minho,,3416.0,496.0,
2001 / 2002,Cávado,16212.0,1390.0,1030.0,
2001 / 2002,Ave,,,1119.0,2139.0
2001 / 2002,Área Metropolitana do Porto,25830.0,16419.0,24190.0,10472.0
2001 / 2002,Alto Tâmega,566.0,,,231.0
2001 / 2002,Tâmega e Sousa,,171.0,,29.0
2001 / 2002,Douro,6935.0,1216.0,,
2001 / 2002,Terras de Trás-os-Montes,219.0,5588.0,503.0,1867.0
2001 / 2002,Centro,34751.0,39939.0,6604.0,2892.0
2001 / 2002,Oeste,,2001.0,131.0,161.0
2001 / 2002,Região de Aveiro,9036.0,2266.0,,477.0
2001 / 2002,Região de Coimbra,20898.0,11459.0,3673.0,
2001 / 2002,Região de Leiria,,6495.0,763.0,114.0
2001 / 2002,Viseu Dão Lafões,,5544.0,1933.0,1542.0
2001 / 2002,Beira Baixa,,4801.0,,16.0
2001 / 2002,Médio Tejo,,3128.0,104.0,468.0
2001 / 2002,Beiras e Serra da Estrela,4817.0,4245.0,,114.0
2001 / 2002,Área Metropolitana de Lisboa,73230.0,22610.0,41823.0,15087.0
2001 / 2002,Área Metropolitana de Lisboa,73230.0,22610.0,41823.0,15087.0
2001 / 2002,Alentejo,8251.0,11529.0,1720.0,
2001 / 2002,Alentejo Litoral,,,17.0,
2001 / 2002,Baixo Alentejo,,3779.0,1012.0,
2001 / 2002,Lezíria do Tejo,,4184.0,691.0,
2001 / 2002,Alto Alentejo,,3273.0,,
2001 / 2002,Alentejo Central,8251.0,293.0,,
2001 / 2002,Algarve,4597.0,5718.0,1107.0,61.0
2001 / 2002,Algarve,4597.0,5718.0,1107.0,61.0
2001 / 2002,Região Autónoma dos Açores,3184.0,430.0,,
2001 / 2002,Região Autónoma dos Açores,3184.0,430.0,,
2001 / 2002,Região Autónoma dos Açores,3184.0,430.0,,
2001 / 2002,Região Autónoma da Madeira,2528.0,60.0,,442.0
2001 / 2002,Região Autónoma da Madeira,2528.0,60.0,,442.0
2001 / 2002,Região Autónoma da Madeira,2528.0,60.0,,442.0
2000 / 2001,Portugal,171735.0,101795.0,81544.0,32629.0
2000 / 2001,Continente,166094.0,101313.0,81522.0,32149.0
2000 / 2001,Norte,48768.0,26285.0,28031.0,14381.0
2000 / 2001,Alto Minho,,3470.0,476.0,
2000 / 2001,Cávado,16016.0,1049.0,1135.0,
2000 / 2001,Ave,,,1259.0,1641.0
2000 / 2001,Área Metropolitana do Porto,25040.0,15506.0,24662.0,10598.0
2000 / 2001,Alto Tâmega,458.0,,,229.0
2000 / 2001,Tâmega e Sousa,,86.0,,70.0
2000 / 2001,Douro,7099.0,901.0,,
2000 / 2001,Terras de Trás-os-Montes,155.0,5273.0,499.0,1843.0
2000 / 2001,Centro,34470.0,37436.0,6584.0,2845.0
2000 / 2001,Oeste,,1848.0,256.0,168.0
2000 / 2001,Região de Aveiro,8825.0,2003.0,,485.0
2000 / 2001,Região de Coimbra,21248.0,10749.0,3472.0,
2000 / 2001,Região de Leiria,,5710.0,940.0,126.0
2000 / 2001,Viseu Dão Lafões,,5118.0,1789.0,1418.0
2000 / 2001,Beira Baixa,,4802.0,,56.0
2000 / 2001,Médio Tejo,,3107.0,127.0,468.0
2000 / 2001,Beiras e Serra da Estrela,4397.0,4099.0,,124.0
2000 / 2001,Área Metropolitana de Lisboa,69994.0,20792.0,43840.0,14855.0
2000 / 2001,Área Metropolitana de Lisboa,69994.0,20792.0,43840.0,14855.0
2000 / 2001,Alentejo,8090.0,11337.0,2042.0,
2000 / 2001,Alentejo Litoral,,,,
2000 / 2001,Baixo Alentejo,,3782.0,1121.0,
2000 / 2001,Lezíria do Tejo,,4099.0,921.0,
2000 / 2001,Alto Alentejo,,3180.0,,
2000 / 2001,Alentejo Central,8090.0,276.0,,
2000 / 2001,Algarve,4772.0,5463.0,1025.0,68.0
2000 / 2001,Algarve,4772.0,5463.0,1025.0,68.0
2000 / 2001,Região Autónoma dos Açores,3303.0,422.0,,
2000 / 2001,Região Autónoma dos Açores,3303.0,422.0,,
2000 / 2001,Região Autónoma dos Açores,3303.0,422.0,,
2000 / 2001,Região Autónoma da Madeira,2338.0,60.0,22.0,480.0
2000 / 2001,Região Autónoma da Madeira,2338.0,60.0,22.0,480.0
2000 / 2001,Região Autónoma da Madeira,2338.0,60.0,22.0,480.0
1999 / 2000,Portugal,164722.0,90286.0,86713.0,32024.0
1999 / 2000,Continente,159162.0,89911.0,86693.0,31573.0
1999 / 2000,Norte,47696.0,23151.0,29422.0,14002.0
1999 / 2000,Alto Minho,,2960.0,410.0,
1999 / 2000,Cávado,15723.0,805.0,1196.0,
1999 / 2000,Ave,,,1344.0,1526.0
1999 / 2000,Área Metropolitana do Porto,24357.0,14296.0,25969.0,10584.0
1999 / 2000,Alto Tâmega,340.0,,,156.0
1999 / 2000,Tâmega e Sousa,,16.0,,115.0
1999 / 2000,Douro,7225.0,588.0,,
1999 / 2000,Terras de Trás-os-Montes,51.0,4486.0,503.0,1621.0
1999 / 2000,Centro,34029.0,32682.0,6691.0,2841.0
1999 / 2000,Oeste,,1482.0,385.0,180.0
1999 / 2000,Região de Aveiro,8208.0,1782.0,,536.0
1999 / 2000,Região de Coimbra,21376.0,9345.0,3416.0,
1999 / 2000,Região de Leiria,,4823.0,1167.0,117.0
1999 / 2000,Viseu Dão Lafões,,4287.0,1589.0,1318.0
1999 / 2000,Beira Baixa,,4365.0,,139.0
1999 / 2000,Médio Tejo,,2698.0,134.0,368.0
1999 / 2000,Beiras e Serra da Estrela,4445.0,3900.0,,183.0
1999 / 2000,Área Metropolitana de Lisboa,65117.0,19436.0,47260.0,14652.0
1999 / 2000,Área Metropolitana de Lisboa,65117.0,19436.0,47260.0,14652.0
1999 / 2000,Alentejo,7763.0,9570.0,2375.0,
1999 / 2000,Alentejo Litoral,,,,
1999 / 2000,Baixo Alentejo,,3325.0,1220.0,
1999 / 2000,Lezíria do Tejo,,3493.0,1155.0,
1999 / 2000,Alto Alentejo,,2533.0,,
1999 / 2000,Alentejo Central,7763.0,219.0,,
1999 / 2000,Algarve,4557.0,5072.0,945.0,78.0
1999 / 2000,Algarve,4557.0,5072.0,945.0,78.0
1999 / 2000,Região Autónoma dos Açores,3288.0,342.0,,
1999 / 2000,Região Autónoma dos Açores,3288.0,342.0,,
1999 / 2000,Região Autónoma dos Açores,3288.0,342.0,,
1999 / 2000,Região Autónoma da Madeira,2272.0,33.0,20.0,451.0
1999 / 2000,Região Autónoma da Madeira,2272.0,33.0,20.0,451.0
1999 / 2000,Região Autónoma da Madeira,2272.0,33.0,20.0,451.0
1998 / 1999,Portugal,158850.0,80007.0,87878.0,30055.0
1998 / 1999,Continente,153610.0,79655.0,87820.0,29595.0
1998 / 1999,Norte,45800.0,20580.0,29118.0,12913.0
1998 / 1999,Alto Minho,,2547.0,298.0,
1998 / 1999,Cávado,14963.0,530.0,1298.0,
1998 / 1999,Ave,,,1384.0,1141.0
1998 / 1999,Área Metropolitana do Porto,23604.0,12917.0,25606.0,10065.0
1998 / 1999,Alto Tâmega,252.0,,,119.0
1998 / 1999,Tâmega e Sousa,,,,248.0
1998 / 1999,Douro,6953.0,516.0,62.0,
1998 / 1999,Terras de Trás-os-Montes,28.0,4070.0,470.0,1340.0
1998 / 1999,Centro,33598.0,28312.0,6801.0,2715.0
1998 / 1999,Oeste,,1122.0,538.0,174.0
1998 / 1999,Região de Aveiro,8253.0,1616.0,,570.0
1998 / 1999,Região de Coimbra,21176.0,8013.0,3511.0,
1998 / 1999,Região de Leiria,,4305.0,1222.0,155.0
1998 / 1999,Viseu Dão Lafões,,3713.0,1385.0,1109.0
1998 / 1999,Beira Baixa,,3627.0,,168.0
1998 / 1999,Médio Tejo,,2125.0,145.0,312.0
1998 / 1999,Beiras e Serra da Estrela,4169.0,3791.0,,227.0
1998 / 1999,Área Metropolitana de Lisboa,62815.0,17970.0,48519.0,13862.0
1998 / 1999,Área Metropolitana de Lisboa,62815.0,17970.0,48519.0,13862.0
1998 / 1999,Alentejo,7246.0,8062.0,2664.0,
1998 / 1999,Alentejo Litoral,,,,
1998 / 1999,Baixo Alentejo,,3152.0,1336.0,
1998 / 1999,Lezíria do Tejo,,2968.0,1328.0,
1998 / 1999,Alto Alentejo,,1740.0,,
1998 / 1999,Alentejo Central,7246.0,202.0,,
1998 / 1999,Algarve,4151.0,4731.0,718.0,105.0
1998 / 1999,Algarve,4151.0,4731.0,718.0,105.0
1998 / 1999,Região Autónoma dos Açores,3084.0,319.0,,
1998 / 1999,Região Autónoma dos Açores,3084.0,319.0,,
1998 / 1999,Região Autónoma dos Açores,3084.0,319.0,,
1998 / 1999,Região Autónoma da Madeira,2156.0,33.0,58.0,460.0
1998 / 1999,Região Autónoma da Madeira,2156.0,33.0,58.0,460.0
1998 / 1999,Região Autónoma da Madeira,2156.0,33.0,58.0,460.0
1997 / 1998,Portugal,153951.0,72691.0,92390.0,28441.0
1997 / 1998,Continente,149054.0,72368.0,92316.0,27985.0
1997 / 1998,Norte,44808.0,18791.0,30330.0,12605.0
1997 / 1998,Alto Minho,,2390.0,43.0,257.0
1997 / 1998,Cávado,14417.0,347.0,1227.0,
1997 / 1998,Ave,,,1517.0,1039.0
1997 / 1998,Área Metropolitana do Porto,23804.0,12240.0,26996.0,9694.0
1997 / 1998,Alto Tâmega,138.0,,30.0,120.0
1997 / 1998,Tâmega e Sousa,,,,393.0
1997 / 1998,Douro,6449.0,411.0,64.0,
1997 / 1998,Terras de Trás-os-Montes,,3403.0,453.0,1102.0
1997 / 1998,Centro,32815.0,24801.0,6866.0,2725.0
1997 / 1998,Oeste,,907.0,730.0,209.0
1997 / 1998,Região de Aveiro,7839.0,1340.0,,461.0
1997 / 1998,Região de Coimbra,20888.0,7337.0,3487.0,
1997 / 1998,Região de Leiria,,3454.0,1218.0,181.0
1997 / 1998,Viseu Dão Lafões,,3181.0,1266.0,995.0
1997 / 1998,Beira Baixa,,2990.0,,285.0
1997 / 1998,Médio Tejo,,1726.0,165.0,283.0
1997 / 1998,Beiras e Serra da Estrela,4088.0,3866.0,,311.0
1997 / 1998,Área Metropolitana de Lisboa,60715.0,17294.0,51514.0,12547.0
1997 / 1998,Área Metropolitana de Lisboa,60715.0,17294.0,51514.0,12547.0
1997 / 1998,Alentejo,6874.0,7249.0,3073.0,
1997 / 1998,Alentejo Litoral,,,,
1997 / 1998,Baixo Alentejo,,2790.0,1373.0,
1997 / 1998,Lezíria do Tejo,,2660.0,1700.0,
1997 / 1998,Alto Alentejo,,1586.0,,
1997 / 1998,Alentejo Central,6874.0,213.0,,
1997 / 1998,Algarve,3842.0,4233.0,533.0,108.0
1997 / 1998,Algarve,3842.0,4233.0,533.0,108.0
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
"Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2013), Sexo e Tipo de subsistemas; Anual - Direção-Geral de Estatísticas da Educação e Ciência",,,,,
"Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2013), Sexo e Tipo de subsistemas; Anual - Direção-Geral de Estatísticas da Educação e Ciência",,,,,
Nota(s):,,,,,
"(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em ""Lisboa"" que passou a ser designada por ""Área Metropolitana de Lisboa"".",,,,,
"(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em ""Lisboa"" que passou a ser designada por ""Área Metropolitana de Lisboa"".",,,,,
Sinais convencionais:,,,,,
-: Dado nulo ou não aplicável,,,,,
-: Dado nulo ou não aplicável,,,,,
Última atualização destes dados: 07 de outubro de 2022,,,,,
